,drug_name,drug_id,ind_name,ind_id,status
27,Salmon Calcitonin,DB00017,"Osteoporosis, Postmenopausal",C0029458,Approved
28,Salmon Calcitonin,DB00017,Osteitis Deformans,C0029401,Approved
29,Pegfilgrastim,DB00019,Chemotherapy-induced neutropenia,C1827687,Approved
30,Sargramostim,DB00020,Chemotherapy-induced neutropenia,C1827687,Approved
31,Peginterferon alfa-2b,DB00022,"Hepatitis C, Chronic",C0524910,Approved
32,Asparaginase,DB00023,Acute lymphocytic leukemia,C0023449,Approved
33,Anakinra,DB00026,Rheumatoid Arthritis,C0003873,Approved
34,Anakinra,DB00026,Cryopyrin-Associated Periodic Syndromes,C2316212,Approved
35,Anakinra,DB00026,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",C0409818,Approved
36,Gramicidin D,DB00027,Bacterial conjunctivitis,C0009768,Approved
37,Gramicidin D,DB00027,Infective blepharitis,C0729587,Approved
38,Gramicidin D,DB00027,Blepharoconjunctivitis,C0005743,Approved
39,Gramicidin D,DB00027,Bacterial keratitis,C0854211,Approved
40,Insulin Human,DB00030,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved
41,Insulin Human,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved
42,Insulin Human,DB00030,Diabetes Mellitus,C0011849,Approved
43,Tenecteplase,DB00031,Acute myocardial infarction,C0155626,Approved
44,Desmopressin,DB00035,Hemophilia A,C0019069,Approved
45,Desmopressin,DB00035,von Willebrand Disease,C0042974,Approved
46,Desmopressin,DB00035,Bedwetting,C0270327,Approved
47,Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia A,C0019069,Approved
48,Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia B,C0008533,Approved
49,Coagulation factor VIIa Recombinant Human,DB00036,Thrombasthenia,C0040015,Approved
50,Coagulation factor VIIa Recombinant Human,DB00036,Factor VII Deficiency,C0015503,Approved
51,Oprelvekin,DB00038,Thrombocytopenia,C0040034,Approved
52,Palifermin,DB00039,Mucositis following radiation therapy,C0392190,Approved
53,Palifermin,DB00039,Drug-induced mucositis,C1274988,Approved
54,Glucagon recombinant,DB00040,Hypoglycemia,C0020615,Approved
55,Aldesleukin,DB00041,"Leukemia, Myelocytic, Acute",C0023467,Approved
56,Aldesleukin,DB00041,Metastatic Renal Cell Cancer,C0278678,Approved
57,Aldesleukin,DB00041,"Malignant melanoma, metastatic",C0860594,Approved
58,Omalizumab,DB00043,Asthma,C0004096,Approved
59,Omalizumab,DB00043,Chronic idiopathic urticaria,C0578870,Approved
60,Insulin Lispro,DB00046,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved
61,Insulin Lispro,DB00046,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved
62,Insulin Glargine,DB00047,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved
63,Insulin Glargine,DB00047,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved
64,Collagenase clostridium histolyticum,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,Approved
65,Collagenase clostridium histolyticum,DB00048,Peyronie Disease,C0030848,Approved
66,Rasburicase,DB00049,Hyperuricemia,C0740394,Approved
67,Adalimumab,DB00051,Rheumatoid Arthritis,C0003873,Approved
68,Adalimumab,DB00051,Juvenile arthritis,C3495559,Approved
69,Adalimumab,DB00051,"Arthritis, Psoriatic",C0003872,Approved
70,Adalimumab,DB00051,Ankylosing spondylitis,C0038013,Approved
71,Adalimumab,DB00051,Crohn Disease,C0010346,Approved
72,Adalimumab,DB00051,Ulcerative Colitis,C0009324,Approved
73,Adalimumab,DB00051,Chronic small plaque psoriasis,C0406317,Approved
74,Adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,Approved
75,Somatropin recombinant,DB00052,Growth retardation,C0151686,Approved
76,Somatropin recombinant,DB00052,Prader-Willi Syndrome,C0032897,Approved
77,Somatropin recombinant,DB00052,Pituitary dwarfism,C0013338,Approved
78,Somatropin recombinant,DB00052,Turner Syndrome,C0041408,Approved
79,Imiglucerase,DB00053,Gaucher Disease,C0017205,Approved
80,Gemtuzumab ozogamicin,DB00056,"Leukemia, Myelocytic, Acute",C0023467,Approved
81,Pegaspargase,DB00059,Acute lymphocytic leukemia,C0023449,Approved
82,Interferon beta-1a,DB00060,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved
83,Eptifibatide,DB00063,Acute Coronary Syndrome,C0948089,Approved
84,Infliximab,DB00065,Crohn Disease,C0010346,Approved
85,Infliximab,DB00065,Ulcerative Colitis,C0009324,Approved
86,Infliximab,DB00065,Rheumatoid Arthritis,C0003873,Approved
87,Infliximab,DB00065,Ankylosing spondylitis,C0038013,Approved
88,Infliximab,DB00065,"Arthritis, Psoriatic",C0003872,Approved
89,Infliximab,DB00065,Chronic small plaque psoriasis,C0406317,Approved
90,Vasopressin,DB00067,Bedwetting,C0270327,Approved
91,Vasopressin,DB00067,von Willebrand Disease,C0042974,Approved
92,Vasopressin,DB00067,Hemophilia A,C0019069,Approved
93,Interferon beta-1b,DB00068,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved
94,Trastuzumab,DB00072,HER2-positive carcinoma of breast,C1960398,Approved
95,Trastuzumab,DB00072,Secondary malignant neoplasm of female breast,C0346993,Approved
96,Trastuzumab,DB00072,Secondary malignant neoplasm of stomach,C0686068,Approved
97,Rituximab,DB00073,"Lymphoma, Non-Hodgkin",C0024305,Approved
98,Rituximab,DB00073,Chronic Lymphocytic Leukemia,C0023434,Approved
99,Rituximab,DB00073,Rheumatoid Arthritis,C0003873,Approved
100,Basiliximab,DB00074,Renal transplant rejection,C0238217,Approved
101,Ibritumomab tiuxetan,DB00078,"Lymphoma, Follicular",C0024301,Approved
102,Daptomycin,DB00080,Right-sided Staphylococcus aureus endocarditis,C1960924,Approved
103,Daptomycin,DB00080,Sepsis due to Staphylococcus aureus,C2887088,Approved
104,Pegvisomant,DB00082,Acromegaly,C0001206,Approved
105,Pancrelipase,DB00085,Exocrine pancreatic insufficiency,C0267963,Approved
106,Alemtuzumab,DB00087,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved
107,Alglucerase,DB00088,"Gaucher Disease, Type 1",C1961835,Approved
108,Laronidase,DB00090,Mucopolysaccharidosis I,C0023786,Approved
109,Cyclosporine,DB00091,Rheumatoid Arthritis,C0003873,Approved
110,Cyclosporine,DB00091,Dry Eye Syndromes,C0013238,Approved
111,Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,Approved
112,Alefacept,DB00092,Chronic small plaque psoriasis,C0406317,Approved
113,Efalizumab,DB00095,Chronic small plaque psoriasis,C0406317,Approved
114,Filgrastim,DB00099,Chemotherapy-induced neutropenia,C1827687,Approved
115,Filgrastim,DB00099,Congenital neutropenia,C0340970,Approved
116,Filgrastim,DB00099,Cyclic neutropenia,C0221023,Approved
117,Filgrastim,DB00099,Chronic idiopathic neutropenia,C2267231,Approved
118,Coagulation Factor IX,DB00100,Hemophilia B,C0008533,Approved
119,Becaplermin,DB00102,Neuropathic diabetic ulcer - foot,C0406526,Approved
120,Agalsidase beta,DB00103,Fabry Disease,C0002986,Approved
121,Octreotide,DB00104,Acromegaly,C0001206,Approved
122,Octreotide,DB00104,Malignant Carcinoid Syndrome,C0024586,Approved
123,Abarelix,DB00106,Ischemic priapism,C2711256,Approved
124,Oxytocin,DB00107,Unspecified Abortion,C0156543,Approved
125,Oxytocin,DB00107,Postpartum Hemorrhage,C0032797,Approved
126,Oxytocin,DB00107,Incomplete spontaneous abortion,C0000810,Approved
127,Natalizumab,DB00108,Multiple Sclerosis,C0026769,Approved
128,Natalizumab,DB00108,Crohn Disease,C0010346,Approved
129,Enfuvirtide,DB00109,HIV Infections,C0019693,Approved
130,Palivizumab,DB00110,Respiratory Syncytial Virus Infections,C0035235,Approved
131,Daclizumab,DB00111,Renal transplant rejection,C0238217,Approved
132,Daclizumab,DB00111,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved
133,Bevacizumab,DB00112,Secondary malignant neoplasm of colon,C0346974,Approved
134,Bevacizumab,DB00112,Nonsquamous nonsmall cell neoplasm of lung,C2585890,Approved
135,Bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,Approved
136,Bevacizumab,DB00112,Metastatic Renal Cell Cancer,C0278678,Approved
137,Bevacizumab,DB00112,Cervix carcinoma,C0302592,Approved
138,Bevacizumab,DB00112,Malignant tumor of peritoneum,C0153467,Approved
139,Bevacizumab,DB00112,Malignant epithelial tumor of ovary,C0346161,Approved
140,Bevacizumab,DB00112,Malignant neoplasm of fallopian tube,C0153579,Approved
141,Cyanocobalamin,DB00115,Megaloblastic anemia due to folate deficiency,C0151482,Approved
142,Cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,Approved
143,Cyanocobalamin,DB00115,Iron deficiency anemia,C0162316,Approved
144,Cyanocobalamin,DB00115,Vitamin Deficiency,C1510471,Approved
145,Cyanocobalamin,DB00115,Vitamin B 12 Deficiency,C0042847,Approved
146,Biotin,DB00121,Biotin deficiency disease,C2937225,Approved
147,Choline,DB00122,Sleeplessness,C0917801,Approved
148,Vitamin C,DB00126,Breastfeeding (mother),C1623040,Approved
149,Vitamin C,DB00126,Vitamin Deficiency,C1510471,Approved
150,L-Aspartic Acid,DB00128,Hypokalemia,C0020621,Approved
151,L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,Approved
152,Adenosine monophosphate,DB00131,Pulmonary Cystic Fibrosis,C0392164,Approved
153,L-Serine,DB00133,"Glaucoma, Open-Angle",C0017612,Approved
154,L-Serine,DB00133,Bacterial urinary infection,C0729524,Approved
155,L-Serine,DB00133,"Tuberculosis, Pulmonary",C0041327,Approved
156,L-Serine,DB00133,Acute tuberculosis,C0275959,Approved
157,L-Serine,DB00133,Escherichia coli urinary tract infection,C0577708,Approved
158,Calcitriol,DB00136,Chronic small plaque psoriasis,C0406317,Approved
159,Calcitriol,DB00136,Hypocalcemia,C0020598,Approved
160,Calcitriol,DB00136,Hypophosphatemia,C0085682,Approved
161,Calcitriol,DB00136,Renal Osteodystrophy,C0035086,Approved
162,Calcitriol,DB00136,Hypoparathyroidism,C0020626,Approved
163,Xanthophyll,DB00137,Age related macular degeneration,C0242383,Approved
164,Xanthophyll,DB00137,Dry Eye Syndromes,C0013238,Approved
165,Xanthophyll,DB00137,Meibomian gland dysfunction,C1275684,Approved
166,Succinic acid,DB00139,Iron deficiency anemia,C0162316,Approved
167,Riboflavin,DB00140,Mineral deficiency,C0687148,Approved
168,Riboflavin,DB00140,Vitamin Deficiency,C1510471,Approved
169,Glycine,DB00145,Rhinorrhea,C1260880,Approved
170,Glycine,DB00145,Coughing,C0010200,Approved
171,Glycine,DB00145,Nasal congestion (finding),C0027424,Approved
172,Glycine,DB00145,Allergic rhinitis (disorder),C2607914,Approved
173,Glycine,DB00145,Rhinitis,C0035455,Approved
174,Glycine,DB00145,Common Cold,C0009443,Approved
175,Calcidiol,DB00146,Hypocalcemia,C0020598,Approved
176,Calcidiol,DB00146,Renal Osteodystrophy,C0035086,Approved
177,Calcidiol,DB00146,Rickets,C0035579,Approved
178,Calcidiol,DB00146,Hypophosphatemia,C0085682,Approved
179,L-Cysteine,DB00151,Bronchitis,C0006277,Approved
180,L-Cysteine,DB00151,Poisoning by acetaminophen,C0237963,Approved
181,L-Cysteine,DB00151,Amyloidosis,C0002726,Approved
182,L-Cysteine,DB00151,Pulmonary Cystic Fibrosis,C0392164,Approved
183,L-Cysteine,DB00151,Bronchiectasis,C0006267,Approved
184,Thiamine,DB00152,Vitamin B 12 Deficiency,C0042847,Approved
185,Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,Approved
186,Thiamine,DB00152,Vitamin Deficiency,C1510471,Approved
187,Thiamine,DB00152,"Anemia, Pernicious",C0002892,Approved
188,Thiamine,DB00152,Thiamine Deficiency,C0039841,Approved
189,Thiamine,DB00152,Mineral deficiency,C0687148,Approved
190,Ergocalciferol,DB00153,Vitamin D Deficiency,C0042870,Approved
191,Ergocalciferol,DB00153,Osteomalacia,C0029442,Approved
192,Ergocalciferol,DB00153,Rickets,C0035579,Approved
193,Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,Approved
194,Ergocalciferol,DB00153,Vitamin Deficiency,C1510471,Approved
195,Ergocalciferol,DB00153,Osteoporosis,C0029456,Approved
196,Ergocalciferol,DB00153,Hypocalcemia,C0020598,Approved
197,Ergocalciferol,DB00153,"Osteoporosis, Postmenopausal",C0029458,Approved
198,Ergocalciferol,DB00153,"Vitamin D-Resistant Rickets, X-Linked",C3536984,Approved
199,Ergocalciferol,DB00153,Hypoparathyroidism,C0020626,Approved
200,Folic Acid,DB00158,Megaloblastic anemia due to folate deficiency,C0151482,Approved
201,Folic Acid,DB00158,Mineral deficiency,C0687148,Approved
202,Folic Acid,DB00158,Breastfeeding (mother),C1623040,Approved
203,Folic Acid,DB00158,Iron deficiency anemia,C0162316,Approved
204,Folic Acid,DB00158,Folic Acid Deficiency,C0016412,Approved
205,Folic Acid,DB00158,Vitamin Deficiency,C1510471,Approved
206,Icosapent,DB00159,Breastfeeding (mother),C1623040,Approved
207,Icosapent,DB00159,Hypertriglyceridemia,C0020557,Approved
208,Vitamin A,DB00162,Mineral deficiency,C0687148,Approved
209,Vitamin A,DB00162,Vitamin Deficiency,C1510471,Approved
210,Vitamin A,DB00162,Vitamin A Deficiency,C0042842,Approved
211,Vitamin E,DB00163,Vitamin E Deficiency,C0042875,Approved
212,Pyridoxine,DB00165,Breastfeeding (mother),C1623040,Approved
213,Pyridoxine,DB00165,"EPILEPSY, PYRIDOXINE-DEPENDENT",C1849508,Approved
214,Pyridoxine,DB00165,Vitamin B 6 Deficiency,C0936215,Approved
215,Lipoic Acid,DB00166,Diabetic peripheral neuropathy,C0740447,Approved
216,Cholecalciferol,DB00169,"Osteoporosis, Postmenopausal",C0029458,Approved
217,Cholecalciferol,DB00169,Hypoparathyroidism,C0020626,Approved
218,Cholecalciferol,DB00169,Rickets,C0035579,Approved
219,Cholecalciferol,DB00169,Hypocalcemia,C0020598,Approved
220,Cholecalciferol,DB00169,Vitamin Deficiency,C1510471,Approved
221,Cholecalciferol,DB00169,Osteomalacia,C0029442,Approved
222,Cholecalciferol,DB00169,Vitamin D-dependent rickets,C0221468,Approved
223,Cholecalciferol,DB00169,Osteoporosis,C0029456,Approved
224,Pravastatin,DB00175,Cerebrovascular accident,C0038454,Approved
225,Pravastatin,DB00175,Hyperlipoproteinemia Type III,C0020479,Approved
226,Pravastatin,DB00175,Familial hypercholesterolemia - heterozygous,C0342882,Approved
227,Pravastatin,DB00175,Hypercholesterolemia,C0020443,Approved
228,Pravastatin,DB00175,Hypertriglyceridemia,C0020557,Approved
229,Pravastatin,DB00175,"Hyperlipidemia, Familial Combined",C0020474,Approved
230,Pravastatin,DB00175,Arteriosclerosis,C0003850,Approved
231,Fluvoxamine,DB00176,Obsessive-Compulsive Disorder,C0028768,Approved
232,Fluvoxamine,DB00176,"Phobia, Social",C0031572,Approved
233,Valsartan,DB00177,Chronic heart failure,C0264716,Approved
234,Valsartan,DB00177,Hypertensive disease,C0020538,Approved
235,Ramipril,DB00178,Cerebrovascular accident,C0038454,Approved
236,Ramipril,DB00178,Chronic heart failure,C0264716,Approved
237,Ramipril,DB00178,Hypertensive disease,C0020538,Approved
238,Masoprocol,DB00179,Actinic keratosis,C0022602,Approved
239,Flunisolide,DB00180,Allergic rhinitis (disorder),C2607914,Approved
240,Flunisolide,DB00180,Asthma,C0004096,Approved
241,Baclofen,DB00181,Muscle spasticity of spinal origin,C1562430,Approved
242,Amphetamine,DB00182,Obesity,C0028754,Approved
243,Amphetamine,DB00182,Attention deficit hyperactivity disorder,C1263846,Approved
244,Amphetamine,DB00182,Narcolepsy,C0027404,Approved
245,Nicotine,DB00184,Pellagra,C0030783,Approved
246,Nicotine,DB00184,Nicotine Dependence,C0028043,Approved
247,Lorazepam,DB00186,Lennox-Gastaut syndrome,C0238111,Approved
248,Lorazepam,DB00186,Absence Epilepsy,C0014553,Approved
249,Lorazepam,DB00186,"Epilepsies, Myoclonic",C0014550,Approved
250,Lorazepam,DB00186,Epileptic drop attack,C0270846,Approved
251,Lorazepam,DB00186,Anxiety,C0003467,Approved
252,Lorazepam,DB00186,Status Epilepticus,C0038220,Approved
253,Lorazepam,DB00186,Panic Disorder,C0030319,Approved
254,Esmolol,DB00187,Atrial Fibrillation,C0004238,Approved
255,Esmolol,DB00187,Supraventricular tachycardia,C0039240,Approved
256,Esmolol,DB00187,Perioperative hypertension,C3661921,Approved
257,Bortezomib,DB00188,Multiple Myeloma,C0026764,Approved
258,Bortezomib,DB00188,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",C0334634,Approved
259,Ethchlorvynol,DB00189,Sleeplessness,C0917801,Approved
260,Carbidopa,DB00190,Parkinson Disease,C0030567,Approved
261,Carbidopa,DB00190,Parkinsonian Disorders,C0242422,Approved
262,Carbidopa,DB00190,"Parkinson Disease, Postencephalitic",C0030568,Approved
263,Phentermine,DB00191,Hypotension,C0020649,Approved
264,Phentermine,DB00191,Obesity,C0028754,Approved
265,Tramadol,DB00193,Chronic pain,C0150055,Approved
266,Tramadol,DB00193,Degenerative polyarthritis,C0029408,Approved
267,Tramadol,DB00193,Pain,C0030193,Approved
268,Vidarabine,DB00194,"Keratitis, Dendritic",C0022570,Approved
269,Vidarabine,DB00194,"Keratitis, Herpetic",C0019357,Approved
270,Betaxolol,DB00195,Hypertensive disease,C0020538,Approved
271,Betaxolol,DB00195,Ocular Hypertension,C0028840,Approved
272,Betaxolol,DB00195,"Glaucoma, Open-Angle",C0017612,Approved
273,Fluconazole,DB00196,Oropharyngeal candidiasis,C0919659,Approved
274,Fluconazole,DB00196,Septicemia candida,C0349009,Approved
275,Fluconazole,DB00196,"Candidiasis, Vulvovaginal",C0700345,Approved
276,Fluconazole,DB00196,Oral candidiasis,C0006849,Approved
277,Fluconazole,DB00196,Mucocutaneous candidiasis,C0006848,Approved
278,Fluconazole,DB00196,Candidiasis of the esophagus,C0239295,Approved
279,Fluconazole,DB00196,"Meningitis, Cryptococcal",C0085436,Approved
280,Fluconazole,DB00196,Candidemia,C0877445,Approved
281,Fluconazole,DB00196,Systemic candidiasis,C0153252,Approved
282,Oseltamivir,DB00198,Influenza,C0021400,Approved
283,Erythromycin,DB00199,Diphtheria,C0012546,Approved
284,Erythromycin,DB00199,Ophthalmia Neonatorum,C0029076,Approved
285,Erythromycin,DB00199,Infective otitis media,C0729586,Approved
286,Erythromycin,DB00199,Acute bacterial sinusitis,C0275556,Approved
287,Erythromycin,DB00199,Acute gonococcal endometritis,C0153196,Approved
288,Erythromycin,DB00199,Neonatal pneumonia,C0339968,Approved
289,Erythromycin,DB00199,"Pneumonia, Bacterial",C0004626,Approved
290,Erythromycin,DB00199,Chlamydial urethritis,C1278807,Approved
291,Erythromycin,DB00199,Gonorrhea of rectum,C0275665,Approved
292,Erythromycin,DB00199,Pneumococcal pharyngitis,C0275761,Approved
293,Erythromycin,DB00199,Acute gonococcal urethritis,C0275652,Approved
294,Erythromycin,DB00199,Staphylococcus aureus infection,C1318973,Approved
295,Erythromycin,DB00199,Legionnaires' Disease,C0023241,Approved
296,Erythromycin,DB00199,non-gonococcal urethritis (NGU),C1112709,Approved
297,Erythromycin,DB00199,Streptococcus pyogenes infection,C0554628,Approved
298,Erythromycin,DB00199,Listeriosis,C0023860,Approved
299,Erythromycin,DB00199,Inclusion conjunctivitis,C0009770,Approved
300,Erythromycin,DB00199,Chlamydial cervicitis,C0341834,Approved
301,Erythromycin,DB00199,Pertussis,C0043167,Approved
302,Erythromycin,DB00199,Erythrasma,C0014752,Approved
303,Erythromycin,DB00199,Infection of skin AND/OR subcutaneous tissue,C0178299,Approved
304,Erythromycin,DB00199,Streptococcal pneumonia,C0155862,Approved
305,Erythromycin,DB00199,Syphilis,C0039128,Approved
306,Erythromycin,DB00199,Chlamydial pneumonia,C0339959,Approved
307,Erythromycin,DB00199,Acute gonococcal cervicitis,C0153195,Approved
308,Erythromycin,DB00199,Acne Vulgaris,C0001144,Approved
309,Erythromycin,DB00199,Acute otitis media,C0271429,Approved
310,Erythromycin,DB00199,Mycoplasma pneumonia,C0032302,Approved
311,Erythromycin,DB00199,Gonorrhea,C0018081,Approved
312,Erythromycin,DB00199,Intraabdominal Infections,C1112209,Approved
313,Erythromycin,DB00199,Meningitis,C0025289,Approved
314,Erythromycin,DB00199,Cholangitis,C0008311,Approved
315,Erythromycin,DB00199,Bacterial sepsis,C0684256,Approved
316,Erythromycin,DB00199,Hepatic Coma,C0019147,Approved
317,Erythromycin,DB00199,Infection of bone,C2242472,Approved
318,Erythromycin,DB00199,Urinary tract infection,C0042029,Approved
319,Erythromycin,DB00199,Arthropathy associated with infection,C0157749,Approved
320,Hydroxocobalamin,DB00200,Vitamin B 12 Deficiency,C0042847,Approved
321,Hydroxocobalamin,DB00200,Toxic effect of cyanide,C0238080,Approved
322,Hydroxocobalamin,DB00200,"Anemia, Pernicious",C0002892,Approved
323,Caffeine,DB00201,Headache Disorders,C0393735,Approved
324,Caffeine,DB00201,Allergic rhinitis (disorder),C2607914,Approved
325,Caffeine,DB00201,Pain,C0030193,Approved
326,Caffeine,DB00201,Vascular Headaches,C0042376,Approved
327,Caffeine,DB00201,Back Pain,C0004604,Approved
328,Caffeine,DB00201,Cluster Headache,C0009088,Approved
329,Caffeine,DB00201,Arthralgia,C0003862,Approved
330,Caffeine,DB00201,Influenza-like symptoms,C0392171,Approved
331,Caffeine,DB00201,Common Cold,C0009443,Approved
332,Caffeine,DB00201,Muscle Spasticity,C0026838,Approved
333,Caffeine,DB00201,Rhinorrhea,C1260880,Approved
334,Caffeine,DB00201,Nasal congestion (finding),C0027424,Approved
335,Caffeine,DB00201,Sinus headache,C0037195,Approved
336,Caffeine,DB00201,Dysmenorrhea,C0013390,Approved
337,Caffeine,DB00201,Tension Headache,C0033893,Approved
338,Caffeine,DB00201,Migraine Disorders,C0149931,Approved
339,Caffeine,DB00201,Apnea in the newborn,C0232058,Approved
340,Sildenafil,DB00203,Pulmonary arterial hypertension,C2973725,Approved
341,Sildenafil,DB00203,Erectile dysfunction,C0242350,Approved
342,Pyrimethamine,DB00205,Malaria,C0024530,Approved
343,Pyrimethamine,DB00205,Toxoplasmosis associated with AIDS,C1720498,Approved
344,Pyrimethamine,DB00205,Toxoplasmosis,C0040558,Approved
345,Reserpine,DB00206,Psychotic Disorders,C0033975,Approved
346,Reserpine,DB00206,Hypertensive disease,C0020538,Approved
347,Azithromycin,DB00207,Pulmonary Mycobacterium avium complex infection,C2733595,Approved
348,Azithromycin,DB00207,Streptococcal tonsillitis,C0275804,Approved
349,Azithromycin,DB00207,Pneumonia due to Staphylococcus aureus,C2349530,Approved
350,Azithromycin,DB00207,Acute bacterial bronchitis,C0339933,Approved
351,Azithromycin,DB00207,Infective otitis media,C0729586,Approved
352,Azithromycin,DB00207,Chlamydial pneumonia,C0339959,Approved
353,Azithromycin,DB00207,Chlamydial urethritis,C1278807,Approved
354,Azithromycin,DB00207,Streptococcus pyogenes infection,C0554628,Approved
355,Azithromycin,DB00207,Acute gonococcal cervicitis,C0153195,Approved
356,Azithromycin,DB00207,Legionella pneumophila pneumonia,C0857846,Approved
357,Azithromycin,DB00207,Acute gonococcal urethritis,C0275652,Approved
358,Azithromycin,DB00207,Chancroids,C0007947,Approved
359,Azithromycin,DB00207,Bacterial conjunctivitis,C0009768,Approved
360,Azithromycin,DB00207,"Pneumonia, Bacterial",C0004626,Approved
361,Azithromycin,DB00207,Chlamydial pelvic inflammatory disease,C0520777,Approved
362,Azithromycin,DB00207,Chlamydial cervicitis,C0341834,Approved
363,Azithromycin,DB00207,Streptococcal pneumonia,C0155862,Approved
364,Azithromycin,DB00207,Mycoplasma pneumonia,C0032302,Approved
365,Azithromycin,DB00207,Staphylococcus aureus infection,C1318973,Approved
366,Azithromycin,DB00207,Moraxella catarrhalis pneumonia,C0857831,Approved
367,Azithromycin,DB00207,Acute bacterial sinusitis,C0275556,Approved
368,Azithromycin,DB00207,Pelvic inflammatory disease due to Mycoplasma hominis,C1261256,Approved
369,Azithromycin,DB00207,Haemophilus influenzae pneumonia,C0276026,Approved
370,Azithromycin,DB00207,Acute exacerbation of chronic bronchitis,C0856695,Approved
371,Ticlopidine,DB00208,Cerebrovascular Occlusion,C0596298,Approved
372,Trospium,DB00209,Urge Incontinence,C0150045,Approved
373,Trospium,DB00209,Bladder muscle dysfunction - overactive,C0403643,Approved
374,Trospium,DB00209,Increased frequency of micturition,C0042023,Approved
375,Trospium,DB00209,Urgency of micturition,C0085606,Approved
376,Adapalene,DB00210,Acne Vulgaris,C0001144,Approved
377,Midodrine,DB00211,"Hypotension, Orthostatic",C0020651,Approved
378,Pantoprazole,DB00213,Erosive esophagitis,C0267055,Approved
379,Pantoprazole,DB00213,Zollinger-Ellison syndrome,C0043515,Approved
380,Pantoprazole,DB00213,Gastroesophageal reflux disease,C0017168,Approved
381,Pantoprazole,DB00213,Multiple Endocrine Neoplasia,C0027662,Approved
382,Pantoprazole,DB00213,Peptic Ulcer,C0030920,Approved
383,Torasemide,DB00214,Hypertensive disease,C0020538,Approved
384,Torasemide,DB00214,Edema,C0013604,Approved
385,Torasemide,DB00214,Decompensated cardiac failure,C0581377,Approved
386,Torasemide,DB00214,Renal disease with edema NOS,C0866125,Approved
387,Citalopram,DB00215,Generalized Anxiety Disorder,C0270549,Approved
388,Citalopram,DB00215,Major Depressive Disorder,C1269683,Approved
389,Citalopram,DB00215,Depressive disorder,C0011581,Approved
390,Eletriptan,DB00216,Migraine Disorders,C0149931,Approved
